player,club,cost,pos,sel%,form,pts
Marschall,Aston Villa,4,GKP,0.00%,0,0
Sousa,Aston Villa,4,DEF,0.30%,0,0
Yasin,Aston Villa,4,DEF,0.20%,0,0
Iling Jr,Aston Villa,5.5,MID,0.00%,0,0
Barrenechea,Aston Villa,5,MID,0.00%,0,0
Dobbin,Aston Villa,5,MID,0.10%,0,0
Broggio,Aston Villa,4.5,MID,0.30%,0,0
Dendoncker,Aston Villa,4.5,MID,0.40%,0,0
Jimoh-Aloba,Aston Villa,4.5,MID,0.10%,0,0
Young,Aston Villa,4.5,MID,0.70%,0,0
Guessand,Aston Villa,6.5,MID,0.10%,0,0
Redmond,Aston Villa,4.5,FWD,0.80%,0,0
Weiss,Burnley,4.5,GKP,0.20%,0,0
Green,Burnley,4,GKP,0.40%,0,0
Hladký,Burnley,4,GKP,0.30%,0,0
Roberts,Burnley,4.5,DEF,0.10%,0,0
Delcroix,Burnley,4,DEF,0.40%,0,0
Dodgson,Burnley,4,DEF,0.10%,0,0
Ekdal,Burnley,4,DEF,0.20%,0,0
Estève,Burnley,4,DEF,18.60%,0,0
Hartman,Burnley,4,DEF,0.50%,0,0
Humphreys,Burnley,4,DEF,0.10%,0,0
Jordan,Burnley,4,DEF,0.20%,0,0
Lucas Pires,Burnley,4,DEF,0.20%,0,0
Sambo,Burnley,4,DEF,0.20%,0,0
Sonne,Burnley,4,DEF,0.20%,0,0
Worrall,Burnley,4,DEF,0.20%,0,0
Anthony,Burnley,5.5,MID,0.10%,0,0
Benson,Burnley,5.5,MID,0.00%,0,0
Bruun Larsen,Burnley,5.5,MID,0.10%,0,0
Boateng,Burnley,5,MID,0.10%,0,0
Churlinov,Burnley,5,MID,0.00%,0,0
Cullen,Burnley,5,MID,0.10%,0,0
Edwards,Burnley,5,MID,0.10%,0,0
Hannibal,Burnley,5,MID,0.20%,0,0
Koleosho,Burnley,5,MID,0.00%,0,0
Laurent,Burnley,5,MID,0.00%,0,0
Tchaouna,Burnley,5,MID,0.00%,0,0
A.Ramsey,Burnley,4.5,MID,11.00%,0,0
Adewumi,Burnley,4.5,MID,0.10%,0,0
Banel,Burnley,4.5,MID,0.00%,0,0
Trésor,Burnley,4.5,MID,0.10%,0,0
Ugochukwu,Burnley,5,MID,0.00%,0,0
Flemming,Burnley,5.5,FWD,0.20%,0,0
Amdouni,Burnley,5,FWD,0.10%,0,0
Foster,Burnley,5,FWD,0.30%,0,0
Barnes,Burnley,4.5,FWD,3.10%,0,0
Obafemi,Burnley,4.5,FWD,0.50%,0,0
Broja,Burnley,5.5,FWD,0.10%,0,0
Petrović,Bournemouth,4.5,GKP,3.60%,0,0
Dennis,Bournemouth,4,GKP,0.90%,0,0
McKenna,Bournemouth,4,GKP,0.20%,0,0
Paulsen,Bournemouth,4,GKP,0.10%,0,0
Truffert,Bournemouth,4.5,DEF,0.90%,0,0
Akinmboni,Bournemouth,4,DEF,0.30%,0,0
Bevan,Bournemouth,4,DEF,0.20%,0,0
Mepham,Bournemouth,4,DEF,0.20%,0,0
Diakité,Bournemouth,4.5,DEF,0.10%,0,0
